"AÑO,""TRIMESTRE"",""PROVEEDOR"",""COD_DEPARTAMENTO"",""DEPARTAMENTO"",""COD_MUNICIPIO"",""MUNICIPIO"",""SEGMENTO"",""TECNOLOGIA"",""VELOCIDAD_BAJADA"",""VELOCIDAD_SUBIDA"",""No DE ACCESOS"""
"2020,""2"",""CONEXIONES TECNOLOGICAS Y COMUNICACION SAS"",""70"",""SUCRE"",""70001"",""SINCELEJO"",""RESIDENCIAL - ESTRATO 5"",""HYBRID FIBER COAXIAL (HFC)"",""8,00"",""6,00"",""8"""
"2019,""3"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""25"",""CUNDINAMARCA"",""25785"",""TABIO"",""RESIDENCIAL - ESTRATO 3"",""FIBER TO THE HOME (FTTH)"",""150,00"",""75,00"",""1"""
"2018,""2"",""UNE EPM TELECOMUNICACIONES S.A."",""66"",""RISARALDA"",""66170"",""DOSQUEBRADAS"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""15,00"",""3,00"",""7"""
"2017,""2"",""MEGA RED COMUNICACIONES DE COLOMBIA S.A.S."",""76"",""VALLE DEL CAUCA"",""76020"",""ALCALÁ"",""RESIDENCIAL - ESTRATO 4"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""1,70"",""0,70"",""1"""
"2020,""4"",""EME S.A."",""08"",""ATLÁNTICO"",""08758"",""SOLEDAD"",""SIN ESTRATIFICAR"",""FIBER TO THE HOME (FTTH)"",""10,00"",""3,00"",""18"""
"2020,""1"",""UNE EPM TELECOMUNICACIONES S.A."",""05"",""ANTIOQUIA"",""05001"",""MEDELLÍN"",""RESIDENCIAL - ESTRATO 1"",""XDSL"",""5,00"",""1,00"",""4278"""
"2018,""1"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""17"",""CALDAS"",""17174"",""CHINCHINÁ"",""RESIDENCIAL - ESTRATO 4"",""XDSL"",""1,00"",""1,00"",""2"""
"2017,""4"",""EVERNET S.A.S."",""25"",""CUNDINAMARCA"",""25126"",""CAJICÁ"",""SIN ESTRATIFICAR"",""WIFI"",""6,00"",""2,25"",""3"""
"2018,""4"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""54"",""NORTE DE SANTANDER"",""54518"",""PAMPLONA"",""RESIDENCIAL - ESTRATO 3"",""XDSL"",""15,00"",""1,00"",""4"""
"2020,""1"",""COMUNICACION CELULAR S A COMCEL S A"",""25"",""CUNDINAMARCA"",""25817"",""TOCANCIPÁ"",""CORPORATIVO"",""CABLE"",""10,24"",""2,25"",""1"""
"2018,""2"",""DIRECTV COLOMBIA LTDA"",""73"",""TOLIMA"",""73555"",""PLANADAS"",""RESIDENCIAL - ESTRATO 1"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""4,00"",""0,50"",""2"""
"2018,""1"",""UNE EPM TELECOMUNICACIONES S.A."",""05"",""ANTIOQUIA"",""05318"",""GUARNE"",""CORPORATIVO"",""XDSL"",""6,00"",""1,00"",""131"""
"2018,""4"",""TELMEX COLOMBIA S.A."",""25"",""CUNDINAMARCA"",""25307"",""GIRARDOT"",""CORPORATIVO"",""CABLE"",""20,48"",""4,51"",""6"""
"2018,""4"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""25"",""CUNDINAMARCA"",""25473"",""MOSQUERA"",""CORPORATIVO"",""XDSL"",""10,00"",""1,00"",""20"""
"2019,""3"",""HUGHES DE COLOMBIA S.A.S."",""54"",""NORTE DE SANTANDER"",""54125"",""CÁCOTA"",""RESIDENCIAL - ESTRATO 2"",""SATELITAL"",""20,00"",""2,00"",""1"""
"2018,""3"",""MEGARED COMUNICACIONES S.A.S."",""63"",""QUINDÍO"",""63130"",""CALARCA"",""RESIDENCIAL - ESTRATO 4"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""4,70"",""1,70"",""2"""
"2020,""4"",""L@TINNETWORK SAS"",""15"",""BOYACÁ"",""15299"",""GARAGOA"",""RESIDENCIAL - ESTRATO 2"",""FIBER TO THE HOME (FTTH)"",""8,00"",""8,00"",""4"""
"2017,""4"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""25"",""CUNDINAMARCA"",""25873"",""VILLAPINZÓN"",""RESIDENCIAL - ESTRATO 2"",""FIBER TO THE CABINET (FTTC)"",""2,00"",""1,00"",""30"""
"2018,""1"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""25"",""CUNDINAMARCA"",""25899"",""ZIPAQUIRÁ"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""1,00"",""1,00"",""3"""
"2018,""1"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""23"",""CÓRDOBA"",""23001"",""MONTERÍA"",""RESIDENCIAL - ESTRATO 1"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""15,00"",""1,00"",""21"""
"2020,""4"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""25"",""CUNDINAMARCA"",""25436"",""MANTA"",""RESIDENCIAL - ESTRATO 1"",""FIBER TO THE HOME (FTTH)"",""15,00"",""7,00"",""1"""
"2020,""4"",""DIRECTV COLOMBIA LTDA"",""25"",""CUNDINAMARCA"",""25843"",""VILLA DE SAN DIEGO DE UBATE"",""RESIDENCIAL - ESTRATO 3"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""10,00"",""2,00"",""99"""
"2019,""4"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""44"",""LA GUAJIRA"",""44110"",""EL MOLINO"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""3,00"",""1,00"",""1"""
